[2022-03-31 10:19:20,194][train.py][line:20][INFO] net:GCN_2(7, 20, 20)	 criterion:L1Loss()	 optimizer:Adam(1e-3)
[2022-03-31 10:19:20,194][train.py][line:21][INFO] avrbound:0.1	 latencylimit:5
[2022-03-31 10:19:20,194][train.py][line:22][INFO] clear to train
[2022-03-31 10:43:59,323][train.py][line:47][INFO] Epoch:[80/100]	 avrbaccu=0.750055	 acc=0.929590	 missaccu=0.063541
[2022-03-31 10:44:00,511][train.py][line:63][INFO] Test:	 avrbaccu=0.818836	 acc=0.944589	 missaccu=0.001308
[2022-03-31 10:44:35,308][train.py][line:47][INFO] Epoch:[81/100]	 avrbaccu=0.750927	 acc=0.929446	 missaccu=0.063541
[2022-03-31 10:44:36,541][train.py][line:63][INFO] Test:	 avrbaccu=0.857423	 acc=0.946397	 missaccu=0.001308
[2022-03-31 10:45:11,360][train.py][line:47][INFO] Epoch:[82/100]	 avrbaccu=0.751581	 acc=0.929705	 missaccu=0.064340
[2022-03-31 10:45:12,523][train.py][line:63][INFO] Test:	 avrbaccu=0.841073	 acc=0.944503	 missaccu=0.001308
[2022-03-31 10:45:47,354][train.py][line:47][INFO] Epoch:[83/100]	 avrbaccu=0.748601	 acc=0.929432	 missaccu=0.064776
[2022-03-31 10:45:48,554][train.py][line:63][INFO] Test:	 avrbaccu=0.834532	 acc=0.943341	 missaccu=0.001308
[2022-03-31 10:46:23,344][train.py][line:47][INFO] Epoch:[84/100]	 avrbaccu=0.751363	 acc=0.929639	 missaccu=0.063977
[2022-03-31 10:46:24,519][train.py][line:63][INFO] Test:	 avrbaccu=0.814912	 acc=0.941302	 missaccu=0.001308
[2022-03-31 10:46:59,274][train.py][line:47][INFO] Epoch:[85/100]	 avrbaccu=0.749473	 acc=0.929342	 missaccu=0.064340
[2022-03-31 10:47:00,457][train.py][line:63][INFO] Test:	 avrbaccu=0.856115	 acc=0.946253	 missaccu=0.001308
[2022-03-31 10:47:35,630][train.py][line:47][INFO] Epoch:[86/100]	 avrbaccu=0.750709	 acc=0.929575	 missaccu=0.064049
[2022-03-31 10:47:36,855][train.py][line:63][INFO] Test:	 avrbaccu=0.819490	 acc=0.941458	 missaccu=0.001308
[2022-03-31 10:48:12,913][train.py][line:47][INFO] Epoch:[87/100]	 avrbaccu=0.751363	 acc=0.929382	 missaccu=0.064268
[2022-03-31 10:48:14,142][train.py][line:63][INFO] Test:	 avrbaccu=0.833224	 acc=0.943188	 missaccu=0.001308
[2022-03-31 10:48:49,206][train.py][line:47][INFO] Epoch:[88/100]	 avrbaccu=0.752817	 acc=0.929613	 missaccu=0.063468
[2022-03-31 10:48:50,386][train.py][line:63][INFO] Test:	 avrbaccu=0.847613	 acc=0.945232	 missaccu=0.001308
[2022-03-31 10:49:25,207][train.py][line:47][INFO] Epoch:[89/100]	 avrbaccu=0.751654	 acc=0.929536	 missaccu=0.064122
[2022-03-31 10:49:26,420][train.py][line:63][INFO] Test:	 avrbaccu=0.820798	 acc=0.939849	 missaccu=0.001308
[2022-03-31 10:50:01,723][train.py][line:47][INFO] Epoch:[90/100]	 avrbaccu=0.752817	 acc=0.929453	 missaccu=0.064776
[2022-03-31 10:50:02,933][train.py][line:63][INFO] Test:	 avrbaccu=0.823414	 acc=0.942803	 missaccu=0.001308
